current_time,temp,humidity,weather
2026-03-05 05:46:08,10.38,23,Clouds
2026-03-05 06:09:26,10.38,23,Clouds
2026-03-05 07:09:38,10.48,36,Clouds
2026-03-05 07:53:56,8.87,57,Clouds
2026-03-05 08:31:39,10.76,46,Haze
2026-03-05 09:09:31,10.76,46,Haze
2026-03-05 10:00:44,6.76,76,Rain
2026-03-05 10:53:52,4.74,91,Rain
2026-03-05 11:27:42,3.76,93,Rain
2026-03-05 11:56:20,3.76,93,Rain
2026-03-05 12:58:14,1.76,100,Rain
2026-03-05 14:02:39,-0.24,100,Snow
2026-03-05 14:58:41,0.76,100,Snow
2026-03-05 15:55:19,2.3,96,Rain
